카드이름,할인내용2,할인율2(%),할인내용3,할인율3(%),할인내용4,할인율4(%),할인내용5,할인율5(%),할인내용6,할인율6(%),할인내용7,할인율7(%),할인내용8,할인율8(%),할인내용9,할인율9(%)
KB국민 톡톡 my point 카드,온라인신규신청 연회비,100.0,,,KB Pay,5.0,,,,,,,,,온라인신규신청 연회비,100.0
KB국민 FINETECH카드(마일리지 대한항공),온라인신규신청 연회비,100.0,,,,,,,,,,,,,온라인신규신청 연회비,100.0
삼성 iD ALL 카드,백화점·할인점·슈퍼마켓 중많이 쓰는 영역,5.0,백화점·할인점·슈퍼마켓 중많이 쓰는 영역,5.0,,,,,,,,,온라인신규회원 연회비,100.0,백화점·할인점·슈퍼마켓 중많이 쓰는 영역,5.0
LOCA CLASSIC (로카 클래식),롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,쇼핑 관련 가맹점최대,1.0,카페/베이커리 가맹점최대,1.0,외식업종 가맹점최대,1.0,레저 관련 가맹점최대,1.0,문화 관련 가맹점최대,1.0,편의점 가맹점최대,1.0,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
KB국민 톡톡O 카드,온라인신규신청 연회비,100.0,넷플릭스 등 OTT플랫폼,100.0,온라인 간편결제,10.0,편의점 업종,5.0,버스 ·지하철,5.0,,,,,온라인신규신청 연회비,100.0
삼성 iD VITA 카드,"병원, 의원, 약국",20.0,보험,10.0,할인점,10.0,렌탈,10.0,이동통신,10.0,온라인쇼핑몰멤버십 10% 결제일할인[뷰티] 헬스/뷰티,20.0,해외,1.0,"병원, 의원, 약국",20.0
LOCA LIKIT Eat,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,LOCA LIKIT Eat으로음식점 가맹점 60% 할인배달앱도,60.0,LOCA LIKIT Eat으로쇼핑 멤버십,60.0,LOCA LIKIT Eat으로커피,60.0,,,,,,,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
카드의정석SHOPPING,온라인 신규 연회비,100.0,온라인 쇼핑 10% 청구할인오프라인 쇼핑,10.0,온라인업종4대PAY결제시,5.0,,,"스타벅스,폴바셋",10.0,,,,,온라인 신규 연회비,100.0
taptap SHOPPING,온라인 쇼핑 5% 할인오프라인 쇼핑,5.0,,,,,,,,,,,,,온라인 쇼핑 5% 할인오프라인 쇼핑,5.0
롯데 국민행복카드,,,롯데 국민행복카드로롯데월드 50% 현장할인서울랜드,30.0,롯데 국민행복카드로택시·시내버스·지하철,10.0,"롯데 국민행복카드로키자니아 30% 청구할인유원지, 놀이시설",10.0,"롯데 국민행복카드로보육료·유아학비 10% 청구할인학원, 학습지",10.0,롯데 국민행복카드로병원·약국·산후조리원,5.0,롯데 국민행복카드로쇼핑,5.0,,
카드의정석 WOWRI,온라인 신규 연회비,100.0,대중교통 업종 모아포인트,5.0,전기차 충전 업종 모아포인트 5%적립주유업종 모아포인트,1.0,이동통신 업종 모아포인트,5.0,주요 간편결제 모아포인트,3.0,커피전문점 모아포인트,3.0,영화 업종 모아포인트,3.0,온라인 신규 연회비,100.0
카드의정석 UNTACT,온라인 신규 연회비,100.0,쿠팡 로켓와우 멤버십 청구할인게임 정기결제 10% 청구할인해외 가맹점 1% 청구할인멤버십 정기결제,20.0,,,이동통신요금 정기결제,10.0,도시가스요금 정기결제 10% 청구할인전기요금 정기결제,10.0,4대 보험료 정기결제,10.0,학습지 정기결제,10.0,온라인 신규 연회비,100.0
LOCA LIKIT Shop,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,LOCA LIKIT Shop으로미용실,60.0,LOCA LIKIT Shop으로편의점,60.0,LOCA LIKIT Shop으로온라인 쇼핑•쇼핑 멤버십,60.0,,,,,,,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
KB국민 알뜰교통플러스카드,"버스, 지하철",10.0,이동통신요금 자동납부시,5.0,카페 최대,10.0,약국 최대,10.0,편의점 최대,10.0,"CGV, 롯데시네마 최대",10.0,패스트푸드점 최대,10.0,"버스, 지하철",10.0
샤롯데 플래티넘 스타 카드,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,,,엔제리너스 둘이 가면 1명은 무료!커피 전문점,5.0,,,,,,,T.G.I.FRiDAY'S 10%할인미스터피자,15.0,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
BLISS.7카드,,,,,,,,,,,,,,,,
알뜰교통플러스 삼성카드,대중교통,10.0,디지털콘텐츠 정기결제시,5.0,이동통신 정기결제 시,5.0,커피전문점,15.0,해외,1.0,"항공, 철도",1.0,온라인신규회원 연회비,100.0,대중교통,10.0
NU Nature,온라인 신규 연회비,100.0,전기차 충전,60.0,대중교통 (버스/지하철) 10% 적립공유 모빌리티,10.0,스트리밍 10% 적립전자책,10.0,커피,10.0,,,,,온라인 신규 연회비,100.0
KB국민 톡톡D 카드,온라인신규신청 연회비,100.0,배달의민족 등 배달앱 최대,60.0,마켓컬리 최대,60.0,온라인 간편결제,10.0,편의점 업종,5.0,버스 ·지하철,5.0,,,온라인신규신청 연회비,100.0
KB국민 가온올림카드(실속형),온라인신규신청 연회비,100.0,,,,,,,,,,,"롯데월드, 에버랜드 50% 현장할인캐리비안베이",30.0,온라인신규신청 연회비,100.0
KB국민 Easy all 티타늄카드,온라인신규신청 연회비,100.0,넷플릭스·멜론 등 정기결제,10.0,커피 업종 이용 시 10% 할인제과/아이스크림 업종,10.0,,,패스트푸드·배달앱 이용시 10% 할인레스토랑·뷔페 등 음식업종,3.0,SK·GS주유소 및 충전소,5.0,SKT·KT·LGU+·리브M이동통신 업종,5.0,온라인신규신청 연회비,100.0
DA@카드의 정석,온라인 신규 연회비,100.0,,,,,,,,,,,,,온라인 신규 연회비,100.0
HERITAGE Smart [대한항공 마일리지형],,,,,,,,,"쇼핑 2천원당 최대 3마일 적립KB Pay 이용 시,랭킹닭컴 배송완료시 포인트 6배 적립유어버스데이 꽃배달",20.0,,,,,,
카드의정석 NEW우리V카드,전국 대형마트,5.0,전국 백화점,5.0,전국 주유소,5.0,전국 병의원,5.0,전국 모든 학원,5.0,,,커피,20.0,전국 대형마트,5.0
BC 바로 알뜰교통 플러스 카드,신규발급시 연회비,100.0,버스/지하철,15.0,편의점,5.0,매월 자동 결제 되는OTT/스트리밍,15.0,카페,5.0,이동통신요금,5.0,해외 가맹점,3.0,신규발급시 연회비,100.0
KB국민 BeV V카드(스카이패스형),,,전세계 공항 라운지 동반1인 무료이용롯데호텔 객실 20~30% 할인 롯데호텔 F&B(식음료),10.0,,,롯데백화점 문화센터,30.0,,,해외여행상품 최대,5.0,,,,
기업은행 BLISS.5 카드,,,,,,,,,,,,,,,,
알뜰교통 우리카드,"버스, 지하철",10.0,공과금 자동납부,10.0,렌탈비 자동납부,10.0,학습지 자동납부,10.0,보험료 자동납부,10.0,,,스타벅스,10.0,"버스, 지하철",10.0
D4@카드의 정석,온라인 신규 연회비,100.0,대중교통,33.0,커피 4대 브랜드통합,55.0,,,편의점,11.0,,,,,온라인 신규 연회비,100.0
우리 국민행복카드 S2,,,"병·의원,산후조리원,약국",7.0,온라인 쇼핑 이용금액 5% 청구할인백화점 이용금액,5.0,대형할인점 이용금액,5.0,이동통신요금,5.0,"도시가스요금, 전기요금",5.0,렌탈 이용금액,5.0,,
기업은행 마일앤조이카드,,,,,,,"KTX, SRT 일반석",10.0,,,,,,,,
기업은행 일상의 기쁨카드,"스타벅스, 커피빈, 할리스, 투썸 등주요 커피전문점",20.0,"쿠팡, 티몬, 위메프온라인쇼핑",20.0,"올리브영,GS25, CU, 세븐일레븐주요 편의점",10.0,"이마트, 홈플러스, 롯데마트대형마트 이용시",5.0,,,,,레저전국 주요 놀이공원,50.0,"스타벅스, 커피빈, 할리스, 투썸 등주요 커피전문점",20.0
IBK 무직타이거 카드,"쿠팡, 티몬, 위메프",20.0,주요 커피전문점,20.0,"이마트,홈플러스,롯데마트",5.0,"GS25, CU, 세븐일레븐",10.0,,,,,,,"쿠팡, 티몬, 위메프",20.0
기업은행 Oil & Life카드 (Oil),,,,,"SKT, KT, LGT 통신 3사휴대폰 이용금액",3.0,,,,,,,,,,
코웨이 IBK카드,,,,,,,,,,,,,,,,
DailyWith (데일리위드)카드,6대 생활영역 1% 기본캐시백이용금액 많은 영역,1.0,이마트/홈플러스/롯데마트,1.0,전국 음식점주점/커피전문점,1.0,쿠팡/11번가/G마켓/위메프온라인쇼핑,1.0,종합병원/병의원/한의원/치과병원비,1.0,"버스, 지하철",1.0,전 주유소,1.0,6대 생활영역 1% 기본캐시백이용금액 많은 영역,1.0
신한카드 Deep Dream,신규 고객 연회비,100.0,,,,,,,,,,,,,신규 고객 연회비,100.0
신한카드 Deep Oil,신규 고객 연회비,100.0,주유서비스,10.0,전국 모든 주차장 10% 할인스피드메이트,10.0,"스타벅스, 이디야",5.0,택시 이용금액,5.0,,,"GS25, CU ",5.0,신규 고객 연회비,100.0
KB국민 와이즈홈카드,,,휴대폰요금 자동납부시,10.0,학원 업종,5.0,"버스, 지하철",5.0,전국 주요 대형할인마트,5.0,,,,,,
